Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.5,22.0,Blue,Sapphire,Chronograph,42 hours,5900.0
Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,44.0,14.21,22.0,Blue,Sapphire,Date,38 hours,3800.0
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,42.0,13.0,22.0,Silver,Sapphire,Date,42 hours,7500.0
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.5,20.0,White,Sapphire,Date,38 hours,6200.0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70 hours,9500.0
Omega,Aqua Terra,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,13.0,20.0,Silver,Sapphire,Date,60 hours,4700.0
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,12.5,20.0,Black,Sapphire,Date,38 hours,2700.0
Breitling,Avenger II,Stainless Steel,Rubber,Automatic,300 meters,43.0,16.5,22.0,Black,Sapphire,"Chronograph, Date",42 hours,4600.0
Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,35.1,8.83,22.0,Silver,Sapphire,Date,42 hours,5300.0
Rolex,Daytona,Yellow Gold,Leather,Automatic,100 meters,40.0,12.4,20.0,Ivory,Sapphire,Chronograph,72 hours,39500.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Sapphire,Chronograph,48 hours,5400.0
TAG Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.0,22.0,Blue,Sapphire,Chronograph,42 hours,6550.0
Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,42.0,13.32,20.0,Blue,Sapphire,Date,38 hours,3850.0
Tudor,Black Bay,Stainless Steel,Fabric,Automatic,200 meters,41.0,11.9,22.0,Black,Sapphire,Date,70 hours,4100.0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,12900.0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,19800.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.0,20.0,Black,Sapphire,Date,70 hours,8100.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.5,20.0,Black,Sapphire,Date,70 hours,6500.0
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,5400.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,55 hours,44000.0
Cartier,Ballon Bleu,18k Rose Gold,Leather,Automatic,30 meters,33.0,9.96,18.0,Silver,Sapphire,Date,42 hours,13200.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,24800.0
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,12.8,22.0,Black,Sapphire,Date,42 hours,4800.0
Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,200 meters,41.0,14.5,22.0,Black,Sapphire,GMT,70 hours,4000.0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,12500.0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,22.0,Black,Sapphire,Chronograph,42 hours,6900.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,"Date, Stopwatch",60 hours,25000.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,"Date, Moon Phase",45 hours,70000.0
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,10.8,20.0,Black,Sapphire,"Date, Stopwatch",42 hours,5500.0
Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,12000.0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,44.0,14.4,22.0,Blue,Sapphire,"Date, Power Reserve",60 hours,7500.0
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,42.0,14.1,24.0,Black,Sapphire,"Date, Chronograph",42 hours,12000.0
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100 meters,42.0,14.05,20.0,Silver,Sapphire,"Date, Chronograph",50 hours,6000.0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,12000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,22000.0
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,10.5,22.0,Blue,Sapphire,Date,42 hours,8500.0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,42.2,12.6,22.0,Blue,Sapphire,Date,60 hours,8900.0
IWC,Portugieser Chronograph,Stainless Steel,Leather,Automatic,30 meters,41.0,13.1,20.0,White,Sapphire,Chronograph,46 hours,7600.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,57000.0
Montblanc,1858 Geosphere,Titanium,Leather,Automatic,100 meters,42.0,12.8,22.0,Black,Sapphire,GMT,42 hours,6500.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11.0,22.0,Blue,Sapphire,Date,60 hours,21000.0
Zenith,Chronomaster El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,Silver,Sapphire,Chronograph,50 hours,6000.0
Rolex,Daytona,18k Yellow Gold,Leather,Automatic,100 meters,40.0,12.4,20.0,Champagne,Sapphire,Chronograph,72 hours,29500.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,51000.0
IWC,Portuguese,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22.0,White,Sapphire,Date,60 hours,8800.0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,13500.0
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44.0,14.5,22.0,Black,Sapphire,Chronograph,72 hours,19500.0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,43.0,12.6,22.0,Blue,Sapphire,Date,60 hours,7000.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,25.0,Black,Sapphire,Date,46 hours,9500.0
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,22.0,Black,Sapphire,"Date, GMT",72 hours,7500.0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,Date,60 hours,6500.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,20000.0
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44.0,14.5,26.0,Black,Sapphire,Chronograph,72 hours,12000.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,6500.0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,11.43,22.0,Black,Sapphire,Chronograph,48 hours,6200.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,60 hours,15000.0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,22.0,Black,Sapphire,Chronograph,50 hours,5500.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.5,20.0,Blue,Sapphire,"Date, Cyclops",70 hours,7400.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,5000.0
Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,20.0,Silver,Sapphire,Date,42 hours,6200.0
TAG Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,43.0,12.5,21.0,Black,Sapphire,Date,38 hours,3100.0
Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,42.0,13.3,20.0,Blue,Sapphire,Date,38 hours,4100.0
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,3800.0
Zenith,Elite Classic,Stainless Steel,Leather,Automatic,50 meters,39.0,8.15,20.0,Silver,Sapphire,Date,50 hours,4900.0
Longines,Conquest Classic,Stainless Steel,Leather,Automatic,50 meters,40.0,10.75,20.0,Silver,Sapphire,Date,54 hours,1850.0
Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50 meters,42.0,11.4,22.0,White,Sapphire,"Date, Moonphase",42 hours,3900.0
Baume & Mercier,Clifton Baumatic,Stainless Steel,Leather,Automatic,50 meters,40.0,10.3,20.0,Silver,Sapphire,Date,120 hours,2750.0
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,41.0,11.8,20.0,Blue,Sapphire,Date,70 hours,9500.0
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,13.75,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,5350.0
Breitling,Superocean Heritage,Stainless Steel,Stainless Steel,Automatic,200 meters,44.0,14.2,22.0,Blue,Sapphire,Date,38 hours,3250.0
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.0,22.0,Blue,Sapphire,Chronograph,40 hours,4950.0
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70 hours,6500.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,27000.0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,20.0,Silver,Sapphire,Chronograph,46 hours,7250.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.5,20.0,Silver,Sapphire,"Date, Cyclops Lens",70 hours,8000.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,4500.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,52000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,28500.0
IWC,Pilot's Watch Mark,Stainless Steel,Leather,Automatic,60 meters,41.0,12.5,20.0,Black,Sapphire,"Date, Chronograph",44 hours,6800.0
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,42.0,14.1,24.0,Black,Sapphire,Chronograph,72 hours,16000.0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,Black,Sapphire,Chronograph,50 hours,6500.0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,13500.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,25.0,Black,Sapphire,Date,46 hours,8000.0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"Date, GMT",70 hours,9700.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21.0,Blue,Sapphire,Date,45 hours,29800.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,5350.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,18500.0
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,43.0,15.0,22.0,Black,Sapphire,Date,72 hours,4950.0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,White,Sapphire,"Chronograph, Date",50 hours,7900.0
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,"Chronograph, Date",72 hours,16000.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,12800.0
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.78,20.0,Silver,Sapphire,"Date, Power Reserve Indicator",70 hours,8500.0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,"Date, Power Reserve Indicator",42 hours,8500.0
Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,"Date, Sub Seconds",72 hours,7500.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,39000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,37.0,9.8,20.0,Blue,Sapphire,Date,40 hours,19500.0
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,"Date, Chronograph",72 hours,13000.0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,White,Sapphire,"Date, Chronograph, Moon Phase",50 hours,7500.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,"Date, World Time",60 hours,23000.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,"Date, Power Reserve Indicator",120 hours,11000.0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,14.45,22.0,Black,Sapphire,"Date, Chronograph",42 hours,6000.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.0,20.0,Silver,Sapphire,Date,70 hours,7500.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.7,20.0,Black,Sapphire,"Chronograph, Tachymeter",60 hours,6500.0
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,43.0,13.0,21.0,Blue,Sapphire,Date,38 hours,3700.0
Breitling,Superocean,Stainless Steel,Rubber,Automatic,200 meters,44.0,14.2,22.0,Black,Sapphire,Date,42 hours,4500.0
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,42.0,13.0,22.0,Silver,Sapphire,Date,42 hours,7500.0
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.8,20.0,Silver,Sapphire,"Date, Power Reserve",70 hours,6000.0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,Dual Time Zone,70 hours,9500.0
Omega,Constellation,Stainless Steel,Stainless Steel,Automatic,100 meters,39.0,10.6,20.0,Black,Sapphire,Date,50 hours,4800.0
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.5,22.0,Blue,Sapphire,Chronograph,40 hours,5200.0
Breitling,Chronomat,Stainless Steel,Stainless Steel,Automatic,200 meters,44.0,16.95,22.0,Blue,Sapphire,"Chronograph, Date",70 hours,6900.0
Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,35.1,8.83,18.0,Silver,Sapphire,Date,42 hours,5500.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.7,20.0,White,Sapphire,Date,70 hours,8000.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21.0,Blue,Sapphire,Date,45 hours,40000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,37.0,9.0,16.0,Blue,Sapphire,Date,60 hours,18000.0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,22.0,White,Sapphire,Date,60 hours,7500.0
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,25.0,Black,Sapphire,Chronograph,72 hours,14000.0
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,14000.0
Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,12.75,20.0,Blue,Sapphire,Chronograph,50 hours,7000.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,9000.0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.1,20.0,Black,Sapphire,"GMT, Date",70 hours,9450.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21.0,Blue,Sapphire,Date,55 hours,29800.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,"Date, Chronograph",50 hours,22300.0
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,10.6,22.0,Black,Sapphire,Date,42 hours,8100.0
IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60 meters,40.0,10.8,20.0,Black,Sapphire,Date,42 hours,3900.0
Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,39.0,8.65,20.0,Silver,Sapphire,Date,65 hours,23200.0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,14.4,22.0,Black,Sapphire,"Date, Chronograph, Tachymeter",42 hours,6300.0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,White,Sapphire,"Date, Chronograph",50 hours,5600.0
Rolex,Daytona,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.4,20.0,White,Sapphire,Chronograph,72 hours,13500.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,4500.0
Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,39.8,9.08,20.0,Silver,Sapphire,Date,42 hours,6600.0
Breitling,Superocean Heritage,Stainless Steel,Leather,Automatic,200 meters,42.0,14.35,20.0,Black,Sapphire,Date,38 hours,4400.0
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,12.0,20.0,Blue,Sapphire,Date,38 hours,2800.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,22500.0
Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,12.75,20.0,Blue,Sapphire,Chronograph,50 hours,6900.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,20.0,Black,Sapphire,"Date, World Time",60 hours,20200.0
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,Date,72 hours,6500.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21.0,Blue,Sapphire,Date,45 hours,34000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,22000.0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,White,Sapphire,Date,168 hours,9500.0
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,41.0,14.6,20.0,Black,Sapphire,Chronograph,42 hours,14000.0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.5,20.0,Silver,Sapphire,Chronograph,50 hours,7000.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,11500.0
Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100 meters,42.2,12.6,20.0,Blue,Sapphire,Date,60 hours,7500.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11.0,22.0,Silver,Sapphire,Date,60 hours,20000.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.0,8.3,20.0,Blue,Sapphire,Date,45 hours,26000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Grey,Sapphire,Date,60 hours,17000.0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22.0,White,Sapphire,Chronograph,46 hours,7800.0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,42.5,13.7,22.0,Blue,Sapphire,Date,40 hours,20000.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,10.88,26.0,Black,Sapphire,Chronograph,46 hours,12000.0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,22.0,Silver,Sapphire,Chronograph,50 hours,7500.0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,14000.0
Piaget,Polo,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,9.4,22.0,Blue,Sapphire,Date,44 hours,10500.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,29000.0
Audemars Piguet,Royal Oak,Rose Gold,Leather,Automatic,50 meters,37.0,9.8,20.0,Black,Sapphire,Date,60 hours,38500.0
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,15.3,20.0,Black,Sapphire,Date,42 hours,5900.0
Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,12000.0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,Silver,Sapphire,Chronograph,50 hours,6200.0
Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50 meters,42.0,13.07,20.0,Black,Sapphire,Chronograph,48 hours,6800.0
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,42.0,14.5,22.0,Black,Sapphire,Date,50 hours,7200.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.0,8.3,22.0,Blue,Sapphire,Date,45 hours,36000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,28500.0
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,15000.0
Breguet,Classique,18K Yellow Gold,Leather,Automatic,30 meters,39.0,10.2,20.0,Silver,Sapphire,Date,38 hours,26000.0
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42.0,13.5,22.0,Blue,Sapphire,Chronograph,50 hours,6500.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,20.0,Blue,Sapphire,Date,54 hours,12000.0
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,Chronograph,72 hours,18500.0
Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50 meters,39.0,9.9,19.0,Silver,Sapphire,Date,42 hours,3500.0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70 hours,9900.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,4300.0
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,Chronograph,72 hours,15500.0
Patek Philippe,Calatrava,White Gold,Leather,Automatic,30 meters,37.0,8.5,18.0,White,Sapphire,Date,45 hours,25000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,19500.0
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36.0,12.0,20.0,Blue,Sapphire,Date,70 hours,7650.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,5200.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,"Date, Chronograph",55 hours,67000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,"Date, Power Reserve",60 hours,25000.0
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,36.6,12.05,18.0,Silver,Sapphire,Date,42 hours,4700.0
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,39.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70 hours,8200.0
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,12500.0
Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,39.0,9.9,22.0,White,Sapphire,"Date, Moonphase",65 hours,27900.0
Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50 meters,42.0,12.67,20.0,Black,Sapphire,"Chronograph, Date",42 hours,6500.0
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,44.3,13.1,22.0,Black,Hardlex,"Date, GMT",50 hours,1200.0
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,39.0,10.86,20.0,Black,Sapphire,Date,42 hours,4500.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,35000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,24000.0
Breguet,Classique,18k Rose Gold,Leather,Automatic,30 meters,38.5,8.25,20.0,White,Sapphire,Date,38 hours,21500.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,13500.0
